AA,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro,Asp,Glu,Phe,Lys
Mol%,10.88870386,14.815883,8.983150253,9.261140089,6.580162461,7.460251885,3.74756039,9.405143979,9.75313727,10.12154939,3.121304777,5.862012651
Stdev,1.034551437,1.960523256,0.641375786,1.260303416,1.012863147,1.443230401,0.87511728,1.296638631,1.037096945,1.000050642,0.666068536,0.819604114
